imdb_id,production_company
tt0112625,PolyGram Filmed Entertainment
tt0106537,Beambright
tt0116282,PolyGram Filmed Entertainment
tt0116552,Walt Disney Pictures
tt0082509,Columbia Pictures
tt0116514,Dimension Films
tt0117283,Miramax
tt0116684,Cineritino S.r.L.
tt0110374,British Film Institute (BFI)
tt0070506,Verona Produzione
tt0065421,Walt Disney Animation Studios
tt0113083,CiBy 2000
tt0118001,Fernando Trueba Producciones Cinematográficas
tt0116165,Longview Entertainment
tt0102855,Sera Filmproduktion
tt0107471,D.A. Films
tt0113839,Nick of Time Productions Inc.
tt0112712,Marianna Films
tt0090665,Cinétéléfilms
tt0117891,"Jackson/McHenry Company,The"
tt0113613,Columbia Pictures
tt0117381,Paramount Pictures
tt0114305,Cineplex Odeon Films
tt0115837,New Line Cinema
tt0115509,MGM Family Entertainment
tt0114671,ARD Degeto Film
tt0112844,Dark Matter Productions
tt0114658,J&M Entertainment
tt0116275,United Artists
tt0113122,Bangor Films
tt0117608,Imagine Entertainment
tt0113448,British Screen Productions
tt0116414,Fox Searchlight Pictures
tt0116095,ABC Productions
tt0111543,Canal+
tt0117517,Made in Munich Filmproduktion
tt0113947,Cecchi Gori Group Tiger Cinematografica
tt0115956,Fox 2000 Pictures
tt0117060,Paramount Pictures
tt0109028,Icicle
tt0117071,Metro-Goldwyn-Mayer (MGM)
tt0117788,Constantin Film
tt0112257,Park Chul-Soo Films Ltd.
tt0116136,Universal Pictures
tt0117117,Sentana Filmproduktion
tt0116168,Permut Presentations
tt0111787,Distant Horizon
tt0112509,Beyond Films
tt0054189,Robert et Raymond Hakim
tt0115591,Majestic Films International
tt0116683,Walt Disney Pictures
tt0116287,Imagine Entertainment
tt0116768,Paramount Pictures
tt0116269,Miramax
tt0113720,Per Holst Filmproduktion
tt0112536,FM Entertainment International N.V.
tt0048473,Government of West Bengal
tt0052572,Satyajit Ray Productions
tt0117128,Best Brains
tt0114616,Independent Television Service (ITVS)
tt0117705,Warner Bros. Family Entertainment
tt0062711,Marianne Productions
tt0110061,Libra Pictures
tt0140614,Trio Entertainment
tt0058898,André Michelin Productions
tt0082206,Les Films de la Tour
tt0111430,Marianna Films
tt0107727,Canal+
tt0081759,Mike Lobell Productions
tt0113443,Opala Productions
tt0109491,Australian Film Finance Corporation (AFFC)
tt0114048,Walt Disney Pictures
tt0111613,Bioskop Film
tt0117104,TriStar Pictures
tt0117688,Triumph Films
tt0117774,Dinamo Entertainment
tt0116289,Fine Line Features
tt0109593,Alliance Communications Corporation
tt0112368,Atlas Entertainment
tt0104046,Dérives Productions
tt0062952,
tt0115742,Interscope Communications
tt0117420,MDP Worldwide
tt0115951,Australian Film Finance Corporation (AFFC)
tt0117784,TriStar Pictures
tt0117107,Largo Entertainment
tt0117979,Twentieth Century Fox
tt0095776,Walt Disney Animation Studios
tt0115851,Caravan Pictures
tt0116322,Universal Pictures
tt0109374,British Broadcasting Corporation (BBC)
tt0110712,Aleph Producciones S.A.
tt0112817,Pandora Filmproduktion
tt0113362,Hachette Première
tt0073778,Centaur Pictures Inc.
tt0112546,Bocaboca Producciones
tt0108500,Alpilles Productions
tt0117108,Columbia Pictures
tt0113270,Wood-Thomas Pictures
tt0333373,Medusa Film
tt0115963,Columbia Pictures
tt0116448,Atman Entertainment
tt0116827,Touchstone Pictures
tt0113429,Image Forum
tt0116508,PVM Entertainment
tt0117260,Po' Boy Productions
tt0117500,Hollywood Pictures
tt0116405,Price
tt0109592,Audifilm
tt0117998,Warner Bros.
tt0115624,Polygram Filmed Entertainment
tt0113145,PXP Productions
tt0116559,MTM Cineteve
tt0113568,Kôdansha
tt0117894,Paramount Pictures
tt0117723,Hollywood Pictures
tt0112586,BBC Films
tt0040366,Enterprise Productions
tt0117768,Imagine Entertainment
tt0115571,Live Entertainment
tt0031612,Metro-Goldwyn-Mayer (MGM)
tt0057012,Columbia Pictures
tt0103926,The Canada Council
tt0113849,Anuline
tt0113188,Universal Pictures
tt0042644,Loew's
tt0109381,Channel Four Films
tt0109688,Jet Tone Production
tt0104606,Kanun parvaresh fekri
tt0110480,
tt0108211,B.A. Produktion
tt0117331,Paramount Pictures
tt0117765,Castle Rock Entertainment
tt0116833,Nordisk Film
tt0113280,Available Light Productions
tt0116669,Hollywood Pictures
tt0116594,Playhouse International Pictures
tt0113211,Charles Matthau-Jerry Tokofsky-John Davis Productions
tt0114494,Canal+
tt0094265,Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles
tt0105201,
tt0070820,Cinegrit
tt0084898,Direction du Cinema de Haute Volta
tt0063715,Les Films Marceau
tt0109191,Jagtoria Films
tt0114122,Cicada Films
tt0117951,Channel Four Films
tt0118523,Lakeshore Entertainment
tt0116629,Twentieth Century Fox
tt0117737,Fiction
tt0116277,TriStar Pictures
tt0116583,Walt Disney Animation Studios
tt0115798,Columbia Pictures
tt0116778,Rysher Entertainment
tt0116213,Kopelson Entertainment
tt0117218,Imagine Entertainment
tt0100990,GEA Cinematográfica
tt0111546,MK2 Productions
tt0093199,Mafilm
tt0106810,Archipel 33
tt0111180,Tangent Films International
tt0111237,Cabin Fever Entertainment
tt0116040,Universal Pictures
tt0116365,Universal Pictures
tt0116905,Columbia Pictures
tt0116493,Paramount Pictures
tt0117333,Touchstone Pictures
tt0118113,Canal+
tt0117628,Good Machine
tt0117913,New Regency Productions
tt0115530,Capitol Films
tt0114266,Compagnie Eric Rohmer (CER)
tt0115493,Castle Rock Entertainment
tt0116320,Metro-Goldwyn-Mayer (MGM)
tt0116756,Interscope Communications
tt0109356,Budapest Filmstúdió
tt0116823,United Artists Pictures
tt0114170,Bergman Lustig Productions
tt0117999,British Broadcasting Corporation (BBC)
tt0118073,Paramount Pictures
tt0108220,Bambú Cinema e TV
tt0049521,Dismage
tt0104403,Pendefig Ty Cefn
tt0061495,Les Films du Losange
tt0110246,ARTE
tt0116164,Bayerischer Rundfunk (BR)
tt0112716,Madragoa Filmes
tt0115472,New Line Cinema
tt0116707,Geffen Pictures
tt0116313,Paramount Pictures
tt0114550,British Broadcasting Corporation (BBC)
tt0117438,Touchstone Pictures
tt0116531,TriStar Pictures
tt0117332,Connection III Entertainment
tt0116353,Chestnut Hill Productions
tt0115857,3 Arts Entertainment
tt0117008,TriStar Pictures
tt0116191,Miramax
tt0115986,Bad Bird Productions
tt0116571,Metro-Goldwyn-Mayer (MGM)
tt0053459,Champs-Élysées Productions
tt0117826,Universal City Studios
tt0113695,In Pictures
tt0108227,Youth Film Studio of Beijing Film Academy
tt0111424,Hong Kong Pineast Pictures
