title,genre,belongs_to_franchise,production_company,runtime,popularity,release_season,release_month,averageRating
3 Strikes,Action,0,Other,82.0,0.651625,Winter,Mar,4.8
Chain of Fools,Action,0,Other,96.0,2.241861,Summer,Sep,6.1
Drowning Mona,Comedy,0,Other,96.0,4.372616,Winter,Mar,5.7
The Next Best Thing,Comedy,0,Other,108.0,2.971999,Winter,Mar,4.7
What Planet Are You From?,Comedy,0,Other,105.0,1.994868,Winter,Mar,5.6
Beyond the Mat,Documentary,0,NBCUniversal,102.0,2.691433,Fall,Oct,7.6
Ghost Dog: The Way of the Samurai,Crime,0,Other,116.0,9.368099,Summer,Sep,7.5
The Year My Voice Broke,Drama,0,Other,105.0,1.334529,Winter,Jan,7.4
Splendor in the Grass,Drama,0,Other,124.0,9.739448,Fall,Oct,7.8
My Tutor,Comedy,0,Other,97.0,4.67546,Winter,Mar,5.3
The Legend of Lobo,Other,0,Other,67.0,0.017999,Fall,Nov,7.0
The Killing of Sister George,Comedy,0,Other,138.0,0.487602,Summer,Sep,7.1
Key Largo,Crime,0,WarnerMedia,100.0,7.588489,Summer,Jul,7.8
Jail Bait,Action,0,Other,74.0,0.514993,Winter,Jan,3.6
It Happened Here,Other,0,Other,93.0,0.352743,Spring,May,6.8
I'll Never Forget What's'isname,Comedy,0,Other,97.0,0.29714,Fall,Dec,6.2
For All Mankind,Documentary,0,Other,80.0,3.216292,Winter,Jan,8.2
Cross of Iron,Drama,1,Other,132.0,9.103168,Winter,Jan,7.5
Bride of the Monster,Horror,0,Other,69.0,1.406932,Spring,May,4.2
Born Yesterday,Comedy,0,Sony Pictures,103.0,6.085287,Fall,Dec,7.6
Birdy,Drama,0,Other,120.0,16.243093,Fall,Dec,7.3
And God Created Woman,Comedy,0,Other,100.0,2.572665,Winter,Mar,4.3
Blood Feast,Horror,1,Other,67.0,1.783412,Spring,Jun,5.1
"Charlie, the Lonesome Cougar",Adventure,0,Walt Disney Studios,75.0,0.439681,Fall,Oct,6.9
Color Me Blood Red,Horror,0,Other,79.0,0.649273,Fall,Oct,5.2
Never Cry Wolf,Action,0,Walt Disney Studios,105.0,3.464922,Fall,Oct,7.5
The Night Visitor,Crime,0,Other,106.0,1.529024,Winter,Jan,6.6
The Perils of Pauline,Comedy,0,ViacomCBS,96.0,0.88763,Summer,Jul,6.5
A Raisin in the Sun,Romance,0,Sony Pictures,128.0,2.501072,Spring,May,8.0
Two Thousand Maniacs!,Horror,0,Other,87.0,1.682434,Winter,Mar,5.9
Brown's Requiem,Drama,0,Other,104.0,0.283548,Fall,Nov,5.8
The Closer You Get,Comedy,0,Other,93.0,0.427125,Fall,Dec,6.3
Mission to Mars,Other,0,Walt Disney Studios,114.0,9.021107,Winter,Mar,5.7
The Ninth Gate,Horror,0,Other,133.0,11.316349,Summer,Aug,6.7
East/West,Drama,0,Other,125.0,1.080972,Summer,Sep,7.4
Defending Your Life,Fantasy,0,Other,112.0,3.711347,Winter,Mar,7.2
Breaking Away,Drama,0,Walt Disney Studios,100.0,4.806374,Spring,May,7.7
Hoosiers,Drama,0,Other,114.0,6.484495,Fall,Nov,7.5
Bull Durham,Comedy,0,Other,108.0,6.924072,Spring,Jun,7.1
Dog Day Afternoon,Crime,0,WarnerMedia,125.0,7.530126,Summer,Aug,8.0
American Graffiti,Comedy,1,NBCUniversal,110.0,9.188584,Summer,Aug,7.4
