imdb_id,id,title,budget,revenue,original_language,genre,belongs_to_franchise,production_company,release_date,cert,runtime,popularity,is_Adult,numVotes,averageRating
tt0110322,4476,Legends of the Fall,30000000.0,160638883.0,en,Adventure,0,TriStar Pictures,1994-12-16,R,133.0,12.199047,0,151250.0,7.6
tt0113691,28313,Losing Isaiah,17000000.0,7603766.0,en,Drama,0,Paramount Pictures,1995-03-17,R,106.0,7.698526,0,5508.0,6.5
tt0109836,3036,Mary Shelley's Frankenstein,45000000.0,112006296.0,en,Drama,0,TriStar Pictures,1994-11-04,R,123.0,14.287753,0,52010.0,6.4
tt0113808,17402,Miami Rhapsody,6.0,5.0,en,Comedy,0,Cantaloupe Production,1995-01-27,PG-13,95.0,1.137266,0,3109.0,5.4
tt0110638,1945,Nell,31000000.0,106683817.0,en,Drama,0,Egg Pictures,1994-12-23,PG-13,112.0,5.930957,0,27559.0,6.5
tt0110632,241,Natural Born Killers,34000000.0,50282766.0,en,Crime,0,Warner Bros.,1994-08-25,R,119.0,11.226856,0,218741.0,7.3
tt0114069,6950,Outbreak,50000000.0,189859560.0,en,Action,0,Warner Bros.,1995-03-10,R,127.0,13.676444,0,121243.0,6.6
tt0110413,101,Leon: The Professional,16000000.0,45284974.0,fr,Thriller,0,Gaumont,1994-09-14,R,110.0,20.477329,0,1048399.0,8.5
tt0114113,63020,The Perez Family,11000000.0,2832826.0,en,Comedy,0,The Samuel Goldwyn Company,1995-05-12,R,113.0,1.433544,0,2119.0,6.0
tt0105652,25296,Pushing Hands,400000.0,152322.0,zh,Comedy,0,Ang Lee Productions,1992-02-01,R,105.0,1.638622,0,3800.0,7.3
tt0114214,12106,The Quick and the Dead,32000000.0,18552460.0,en,Action,0,TriStar Pictures,1995-02-09,R,107.0,7.54701,0,86647.0,6.5
tt0114296,161495,Roommates,22000000.0,12400000.0,sv,Drama,0,Hollywood Pictures,1995-03-01,PG,108.0,3.395867,0,1738.0,6.4
tt0110907,3586,Prêt-à-Porter,15000000.0,11300653.0,en,Drama,0,Etalon Film,1994-12-23,R,133.0,6.259433,0,14449.0,5.2
tt0111333,22586,The Swan Princess,35000000.0,9771658.0,en,Animation,1,Nest Family Entertainment,1994-11-18,G,89.0,8.910462,0,23008.0,6.5
tt0111255,2636,The Specialist,45000000.0,170362582.0,en,Action,0,Warner Bros.,1994-10-07,R,110.0,10.388183,0,62814.0,5.6
tt0111282,2164,Stargate,55000000.0,196567262.0,en,Action,1,Canal+,1994-10-27,PG-13,121.0,13.328924,0,176664.0,7.1
tt0111070,11395,The Santa Clause,22000000.0,189833357.0,en,Fantasy,1,Walt Disney Pictures,1994-11-10,PG,97.0,9.665424,0,101279.0,6.5
tt0111161,278,The Shawshank Redemption,25000000.0,28341469.0,en,Drama,0,Castle Rock Entertainment,1994-09-23,R,142.0,51.645403,0,2372896.0,9.3
tt0114614,9067,Tank Girl,25000000.0,4064495.0,en,Action,0,Image Comics,1995-03-31,R,98.0,7.602087,0,30395.0,5.4
tt0111280,193,Star Trek: Generations,38000000.0,120000000.0,en,Science Fiction,1,Paramount Pictures,1994-11-17,PG,118.0,8.105708,0,77109.0,6.6
tt0114609,25066,Tales from the Hood,6000000.0,12000000.0,en,Crime,1,40 Acres & A Mule Filmworks,1995-05-24,R,98.0,2.86007,0,7217.0,6.4
tt0108550,1587,What's Eating Gilbert Grape,11000000.0,10032765.0,en,Romance,0,Paramount Pictures,1993-12-17,PG-13,118.0,10.3919,0,217487.0,7.8
tt0114857,9271,Virtuosity,30000000.0,24048000.0,en,Action,0,Paramount Pictures,1995-08-04,R,106.0,5.188399,0,28454.0,5.6
tt0114924,2064,While You Were Sleeping,17000000.0,182057016.0,en,Comedy,0,Hollywood Pictures,1995-04-21,PG,103.0,15.783615,0,93301.0,6.7
tt0110598,236,Muriel's Wedding,3000000.0,15119639.0,en,Drama,0,CiBy 2000,1994-09-29,R,106.0,5.254847,0,35879.0,7.2
tt0109040,3049,Ace Ventura: Pet Detective,15000000.0,107217396.0,en,Comedy,1,Morgan Creek Entertainment,1994-02-04,PG-13,86.0,11.247957,0,279373.0,6.9
tt0104779,10497,Bitter Moon,5000000.0,1862805.0,en,Thriller,0,Canal+,1992-09-02,R,139.0,11.298195,0,36032.0,7.2
tt0109444,9331,Clear and Present Danger,62000000.0,215887717.0,en,Action,1,Mace Neufeld Productions,1994-08-03,PG-13,141.0,7.513245,0,90839.0,6.9
tt0109446,10731,The Client,45000000.0,117615211.0,en,Drama,0,Warner Bros.,1994-07-20,PG-13,119.0,15.263829,0,61235.0,6.8
tt0109506,9495,The Crow,15000000.0,94000000.0,en,Fantasy,1,Crowvision Inc.,1994-05-11,R,102.0,15.799336,0,167868.0,7.6
